,"Type","Date","Name","Num","Item","Qty","Cost","On Hand","Avg Cost","Asset Value"
"Inventory",,,,,,,,"",,""
"0331/KHAKI S/M (FELT IVY, KHAKI)",,,,,,,,"",,""
,"Invoice","03/28/2011","BROOKLYN INTERNATIONAL","18374","0639",-6,"",858,0.00,0.00
,"Invoice","04/01/2011","LUCKY 7 GIFTS","18450","0639",-12,"",846,0.00,0.00
,"Invoice","05/05/2011","BRECKENRIDGE HAT COMPANY 2","18719","0639",-2,"",844,0.00,0.00
,"Invoice","05/09/2011","SEDUCTIONS","18736","0639",-6,"",838,0.00,0.00
,"Invoice","07/26/2011","3 U ENTERRPISE INC.","19260","0639",-216,"",622,0.00,0.00
,"Inventory Adjust","06/18/2012",,"139","0639",-190,"",432,0.00,0.00
,"Invoice","11/26/2012","STUFF-4-U","24393","0639",-6,"",426,0.00,0.00
,"Invoice","02/07/2013","SIMMS WORK CLOTHES","24835","0639",-12,"",414,0.00,0.00
,"Invoice","04/29/2013","N B WHOLESALE","25305","0639",-414,"",0,0.00,0.00
,"Item Receipt","10/26/2013","RETURN","3U 8193","0639",60,0.00,60,0.00,0.00
,"Invoice","11/07/2013","S/EPOCH","26955","0639",-24,"",36,0.00,0.00
,"Invoice","02/22/2016","PALM GARDENS CHEVRON","403174","0639",-12,"",24,0.00,0.00
,"Invoice","04/07/2016","ROUGE VALLEY REMEDIES","403178","0639",-21,"",3,0.00,0.00
"Total 0639 (CAP/WEED, BLACK)",,,,,,,,3.00,,0.00
"0640 (CAP/REBEL)",,,,,,,,"",,""
,"Invoice","10/03/2006","GARRETT&GARRETT","1007","0640",-72,"",-72,0.00,0.00
,"Invoice","10/18/2006","GARRETT&GARRETT","1075","0640",-120,"",-192,0.00,0.00
,"Invoice","11/15/2006","RAY WILSON WV","1195","0640",-12,"",-204,0.00,0.00
,"Invoice","01/03/2007","POINT OF VIEW VENDING","1375","0640",-24,"",-228,0.00,0.00
,"Invoice","06/04/2007","SUPER STOP","1788","0640",-12,"",-240,0.00,0.00
,"Invoice","01/13/2010","UNLIMITED LIMITED","6118","0640",-6,"",-246,0.00,0.00
,"Inventory Adjust","01/02/2011",,"47","0640",678,"",432,0.00,0.00
,"Invoice","03/28/2011","BROOKLYN INTERNATIONAL","18374","0640",-6,"",426,0.00,0.00
,"Invoice","05/09/2011","SEDUCTIONS","18736","0640",-6,"",420,0.00,0.00
