,"Active Status","Type","Item","Description","Sales Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","Cost","Preferred Vendor","Tax Agency","Price","Reorder Pt (Min)","MPN","Location"
,"Not-active","Inventory Part","TP473S","TRAPPER AND SCARF",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TRAPPER AND SCARF",0,0.00,,,7.50,"",,
,"Not-active","Inventory Part","TP474","TROOPER HATS",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS",0,0.00,,,5.00,"",,
,"Not-active","Inventory Part","TP474S","TROOPER AND SCARF",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER AND SCARF",0,0.00,,,7.50,"",,
,"Not-active","Inventory Part","TP475","TROOPER",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER",0,0.00,,,5.00,"",,
,"Not-active","Inventory Part","TP475S","TROOPER HATS AND SCARF SETS",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS AND SCARF SETS",0,0.00,,,7.50,"",,
,"Active","Inventory Part","TP476/A","TROOPER HATS, ASSORTED, FINAL SALE, 12PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS, ASSORTED COLOR, FINAL SALE,",5400,0.00,,,3.00,"","V13 P10 400","(6 DZ/CTN)  L/ U16,K13-3,H7-4"
,"Active","Inventory Part","TP476/K","TROOPER HATS, KHAKI, FINAL SALE, 6PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS, KHAKI COLOR",383,0.00,,,3.00,"","V13 P10 400","(6 DZ/CTN)  L/ U16,h7-4"
,"Not-active","Inventory Part","TP476S","TROOPER HATS AND SCARF SETS",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS AND SCARF SETS",0,0.00,,,6.00,"",,
,"Not-active","Inventory Part","TP477","TROOPER HATS, ASSORTED (4 DZ/CTN)*..",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS, ASSORTED COLOR",2,0.00,,,5.00,"","2011 FALL/P8",
,"Not-active","Inventory Part","TP478","TROOPER HATS",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS",0,0.00,,,5.00,"",,
,"Not-active","Inventory Part","TP478/BK","TROOPER HATS, BLACK, FINAL SALE,  (4 DZ/CTN) L/5L",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS, BLACK COLOR, FINAL SALE,",0,0.00,,,2.50,"","V13 P8 400",
