,"Type","Date","Num","Memo","Name","Item","Qty","Sales Price","Amount","Balance"
,"Invoice","04/07/2009","4462","MILITARY","AMERICAN GENTLEMAN (SHIRT SHACK)","CAP",10,2.00,20.00,3682.50
,"Invoice","04/07/2009","4462","UPS","AMERICAN GENTLEMAN (SHIRT SHACK)","FREIGHT (UPS GROUND)",1,52.00,52.00,3734.50
,"Invoice","04/14/2009","4487","arab","AMERICAN GENTLEMAN (SHIRT SHACK)","SCARF",72,2.00,144.00,3878.50
,"Invoice","04/14/2009","4487","tie-dye","AMERICAN GENTLEMAN (SHIRT SHACK)","SCARF",36,3.50,126.00,4004.50
,"Invoice","04/14/2009","4487","peace sign","AMERICAN GENTLEMAN (SHIRT SHACK)","SCARF",18,2.50,45.00,4049.50
,"Invoice","04/14/2009","4487","ups","AMERICAN GENTLEMAN (SHIRT SHACK)","FREIGHT (UPS GROUND)",1,19.00,19.00,4068.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","F207",18,6.00,108.00,4176.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","F208",12,6.00,72.00,4248.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","F205 (FEDORA, WHITE)",18,6.00,108.00,4356.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","F203",18,6.00,108.00,4464.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","F204",12,6.00,72.00,4536.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","F202 (FEDORA, WHITE)",18,6.00,108.00,4644.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","C331-B",36,4.00,144.00,4788.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","C339",36,4.00,144.00,4932.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","0947 (SAME AS CD0947 CADET HAT, ASSORTED (12 DZ/CTN) L/2A)",24,5.00,120.00,5052.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","0929",12,3.50,42.00,5094.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","0930",12,3.50,42.00,5136.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","0931",12,3.50,42.00,5178.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","C340",24,4.00,96.00,5274.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","I228/BK (IVY HAT, BLACK)",18,4.00,72.00,5346.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","I229/GREY (IVY HAT, GREY)",12,4.00,48.00,5394.50
,"Invoice","04/29/2009","4577",,"AMERICAN GENTLEMAN (SHIRT SHACK)","I334",24,4.00,96.00,5490.50
,"Invoice","04/29/2009","4577","peace sign","AMERICAN GENTLEMAN (SHIRT SHACK)","SCARF",102,2.50,255.00,5745.50
,"Invoice","04/29/2009","4577","square peace scarf sample","AMERICAN GENTLEMAN (SHIRT SHACK)","SCARF",1,0.00,0.00,5745.50
,"Invoice","04/29/2009","4577","flower scarf sample","AMERICAN GENTLEMAN (SHIRT SHACK)","SCARF",1,0.00,0.00,5745.50
,"Invoice","04/29/2009","4577","butterfly scarf sample","AMERICAN GENTLEMAN (SHIRT SHACK)","SCARF",1,0.00,0.00,5745.50
,"Invoice","04/29/2009","4577","ups","AMERICAN GENTLEMAN (SHIRT SHACK)","FREIGHT (UPS GROUND)",1,56.00,56.00,5801.50
,"Invoice","06/22/2009","4901","ASSORT","AMERICAN GENTLEMAN (SHIRT SHACK)","FEDORA",70,6.00,420.00,6221.50
,"Invoice","06/22/2009","4901","A48 A51","AMERICAN GENTLEMAN (SHIRT SHACK)","CAPS",12,3.00,36.00,6257.50
,"Invoice","06/22/2009","4901","FLAX FIT","AMERICAN GENTLEMAN (SHIRT SHACK)","FITTED CAPS (ASSORTED)",18,3.00,54.00,6311.50
,"Invoice","06/22/2009","4901",,"AMERICAN GENTLEMAN (SHIRT SHACK)","FREIGHT (UPS GROUND)",1,37.00,37.00,6348.50
,"Invoice","07/13/2009","4998","I222 I330 I228 I334","AMERICAN GENTLEMAN (SHIRT SHACK)","IVY",72,4.00,288.00,6636.50
